vendor_id,name_en,chain_name_en,vertical_class,vertical,main_cuisine
611534,"Wing Men, Tagammoa 5 - Cairo Festival City",Wing Men,food,food,Sandwiches
727523,"Tahabish,Hay Thany Zagazig",Tahabish,food,food,Sandwiches
739283,"Shahenda, Shibat El Nakkareyah",Shahenda,food,food,Sandwiches
611645,"Pac-Way, Zagazig University",Pac-Way,food,food,Sandwiches
735576,"Mr.Chicks,Zamalek - Mohamed Mazhar",Mr.Chicks,food,food,Sandwiches
735406,"Holybelly, Raml station",Holybelly,food,food,Sandwiches
749622,"Hawarina, Heliopolis - Korba",Hawarina,food,food,Sandwiches
749614,"Hawarina, Anwar El Sadat",Hawarina,food,food,Sandwiches
723093,"El TaQwa, Maadi - Corniche",El TaQwa,food,food,Sandwiches
720944,"El Tabia,El Bahr Street - Qesm Thany",El Tabia,food,food,Sandwiches
614185,"El Shebl, Faisal - EL Twabe'e",El Shebl,food,food,Sandwiches
740656,"El Malek, Mokattam - El Hadba El Wosta",El Malek,food,food,Sandwiches
707863,"3am Amin,Manshia",3am ِAmin,food,food,Sandwiches
742221,"WRAPPED, 6th of October - El Hay El Motamyez",Wrapped,food,food,Sandwiches
614594,"Tickets, El Teraa",Tickets,food,food,Sandwiches
719935,"Rosteka,Mogama'a El Mahakem",Rosteka,food,food,Sandwiches
757107,"Potates, Hadayeq El Maadi",Potates,food,food,Sandwiches
749256,"Mega, Haram - Omraniya",Mega,food,food,Sandwiches
718474,"Mega, Downtown - El Sayeda Zeinab",Mega,food,food,Sandwiches
612207,"Marzouk Souvlaki, Haram - El Arish",Marzouk Souvlaki,food,food,Sandwiches
727630,"Komesta, Al Wehda Al Arabia",Komesta,food,food,Sandwiches
761160,"Felfela, Downtown",Felfela,food,food,Sandwiches
738110,"Falfoul, Tagammoa 5 - Hay 4",Falfoul,food,food,Sandwiches
736840,"Ekslans, Shobra - El Mazalat",Ekslans,food,food,Sandwiches
615192,"Crispy, Nasr City - Abbas El Akkad",Crispy,food,food,Sandwiches
606170,Club 21 - Roushdy,Club 21,food,food,Sandwiches
617494,"SEECOZ, Zamalek",SEECOZ,food,food,Sandwiches
731841,"Seecoz, Tagammoa 5 - South Investors",SEECOZ,food,food,Sandwiches
708380,"Madera, El Seyouf",Madera,food,food,Sandwiches
612419,"Kurtos,El Katameya",Kurtos,food,food,Sandwiches
746188,"HAMMER,6th of October - 1st District",HAMMER,food,food,Sandwiches
728462,El Nemr - Lauran,El Nemr,food,food,Sandwiches
759432,"Bianky, Maadi - New",Bianky,food,food,Sandwiches
610299,"Bakiza, Mostafa Kamel",Bakiza,food,food,Sandwiches
754084,"Ardoor, El Rehab City",Ardoor,food,food,Sandwiches
740990,"Zenze, Mostafa Kamel",Zenze,food,food,Sandwiches
735252,"Wahba,Raml Station",Wahba,food,food,Sandwiches
749141,"Doner Sitti, El Sheikh Zayed - El Hay 8",Doner Sitti,food,food,Sandwiches
754082,"Salty, Semouha - Victor Emanouil",Salty,food,food,Sandwiches
758547,"First, el mansoura university - mansoura",First,food,food,Sandwiches
618181,"Eslam,Maadi - Corniche",Eslam,food,food,Sandwiches
710596,"Dixi's, Sidi Gaber",Dixi's,food,food,Sandwiches
726977,"Daboos, Faisal - El Talbeya",Daboos,food,food,Sandwiches
742468,"Baogr,Heliopolis",Baogr,food,food,Sandwiches
757001,"w7w7, Tagammoa 5 - Hay 1",W7W7,food,food,Sandwiches
726288,"SELF, Tagammoa 5 - Hay 1",Self,food,food,Sandwiches
608358,"Rady, Haram, Tersa",Rady,food,food,Sandwiches
740642,"Oozy, Manshayt El Salam",Oozy,food,food,Sandwiches
739042,"Nozo,Shobra - Gesr Shobra",Nozo,food,food,Sandwiches
709748,"Noah, Semouha",Noah,food,food,Sandwiches
723756,"Fury,Tagammoa 5",Fury,food,food,Sandwiches
745387,"Fury, El Rehab City",Fury,food,food,Sandwiches
712686,"aiwa,Sidi Gaber - Alexandria",Aiwa,food,food,Sandwiches
720779,"Yum,Hassan Radwan",yum,food,food,Sandwiches
757730,"Aziz, Zamalek - 26 July",Aziz,food,food,Sandwiches
757723,"Aziz, Ard El Golf",Aziz,food,food,Sandwiches
757726,"Aziz, Madinaty - Green Belt",Aziz,food,food,Sandwiches
757727,"Aziz, Maadi Old",Aziz,food,food,Sandwiches
757728,"Aziz, Tagammoa 5 - South Investors",Aziz,food,food,Sandwiches
615575,"Hawawshi El Refaay, El Sheikh Zayed - El Hay 14",Hawawshi El Refaay,food,food,Sandwiches
606396,Hawawshi EL Refaey - Downtown,Hawawshi El Refaay,food,food,Sandwiches
735743,"Hawawshi El Refaay, Zahraa El Maadi - Street 50",Hawawshi El Refaay,food,food,Sandwiches
615574,"Hawawshi El Refaay, Tagammoa 5 - Hay 2",Hawawshi El Refaay,food,food,Sandwiches
748511,"Ez Al Minofy, Downtown, Ramsis",Ez Al Minofy,food,food,Sandwiches
748512,"Ez Al Minofy, Haram, Omraniya",Ez Al Minofy,food,food,Sandwiches
748507,"Ez al minofy, Ard El Golf",Ez Al Minofy,food,food,Sandwiches
748513,"Ez Al Minofy, Zahraa El Maadi - Street 50",Ez Al Minofy,food,food,Sandwiches
751326,"Ez Al Minofy,  Abbasiya",Ez Al Minofy,food,food,Sandwiches
748514,"Ez al Minofy, El Rehab City",Ez Al Minofy,food,food,Sandwiches
748510,"Ez Al Minofy, Mokattam, El Hadba El Wosta",Ez Al Minofy,food,food,Sandwiches
750010,"Ez Al Minofy, Hadayek El Ahram - Area ح",Ez Al Minofy,food,food,Sandwiches
748508,"Ez al minofy, Tagammoa 5 - Hay 1",Ez Al Minofy,food,food,Sandwiches
748509,"Ez Al Minofy, 1st District",Ez Al Minofy,food,food,Sandwiches
748505,"Ez al minofy, Maadi Old",Ez Al Minofy,food,food,Sandwiches
748504,"Ez al minofy, Mohandesin - El Zamlek Club",Ez Al Minofy,food,food,Sandwiches
740872,"Bon Appetit, 6th of October - Palm Hills",Bon Appetit,food,food,Sandwiches
609101,"Bon Appetit, Tagammoa 5 - Banks Center",Bon Appetit,food,food,Sandwiches
706919,"Bon Appetit, Mokattam",Bon Appetit,food,food,Sandwiches
740873,"Bon Appetit, 6th of October - West Somed",Bon Appetit,food,food,Sandwiches
609099,"Bon Appetit, Heliopolis - Baron",Bon Appetit,food,food,Sandwiches
609102,"Bon Appetit, Heliopolis - Hegaz Square",Bon Appetit,food,food,Sandwiches
740874,"Bon Appetit, El Rehab City",Bon Appetit,food,food,Sandwiches
609100,"Bon Appetit, New Maadi - Nasr Street",Bon Appetit,food,food,Sandwiches
609095,"Bon Appetit, Mohandiseen",Bon Appetit,food,food,Sandwiches
614422,"Kansas, New Maadi - Palestine Square",Kansas Fried Chicken,food,food,Sandwiches
755918,"Kansas, Tagammoa 5 - Cairo Festival City",Kansas Fried Chicken,food,food,Sandwiches
614423,"Kansas, Masaken Sheraton - Saqr QorishSheraton",Kansas Fried Chicken,food,food,Sandwiches
614424,"Kansas, El Rehab City",Kansas Fried Chicken,food,food,Sandwiches
618640,"Kansas Fried Chicken, Mohandesin - Jazerat El Arab",Kansas Fried Chicken,food,food,Sandwiches
737265,"Kansas Fried Chicken, Nasr City - Abbas El Akkad",Kansas Fried Chicken,food,food,Sandwiches
614425,"Kansas, Heliopolis - Korba",Kansas Fried Chicken,food,food,Sandwiches
762085,"shawa7ha oriental sandwich, Giza",shawa7ha oriental sandwich,food,food,Sandwiches
760207,"Kebda W Mokh Elsharqawi ,Al Teraa St",Kebda W Mokh Elsharqawi,food,food,Sandwiches
760127,"Al Gaynaney Al Demashky, Haram",Al Gaynaney Al Demashky,food,food,Sandwiches
728795,"Fol W Falfel Zizo, Haram",Fol W Falfel Zizo,food,food,Sandwiches
760221,"Alex Food Drinks, Zahraa El Maadi - Street 50",Alex Food Drinks,food,food,Sandwiches
609568,"3eish w Mal7, El Sheikh Zayed - Waslet Dahshur",3eish w Mal7,food,food,Sandwiches
751172,"Chicken Planet, Hurghada - El Kothar",Chicken Planet,food,food,Sandwiches
617956,"Beirut Express, Dokki - Michel Bakhum",Beirut Express,food,food,Sandwiches
719855,"Kebda El Saad, El Nady Street",Kebda El Saad,food,food,Sandwiches
709066,"Shawrmgy, Masaken Sheraton - Abdel Hamid Badwai",Shawrmgy,food,food,Sandwiches
761234,"FillFino,El Sheikh Zayed - El Hay 4",Fillfino,food,food,Sandwiches
707225,"Abu Abdo Foul and Falafel, Nasr City - Makram Ebeid",Abu Abdo Foul and Falafel,food,food,Sandwiches
731842,"Seecoz, El Sheikh Zayed - Beverly Hills",SEECOZ,food,food,Sandwiches
602286,3M Abdelghany - Dokki,3M Abdelghany,food,food,Sandwiches
606187,Andrea - Heliopolis,Andrea - Heliopolis,food,food,Grills
736071,"ABO MAZEN ELSURY,  Heliopolis - Triumph Square",ABO MAZEN ELSURY,food,food,Grills
611567,"Kababgy El Swaf, Haram - Talbiya",Kababgy El Swaf,food,food,Grills
613885,El Haty - Suez,El Haty,food,food,Grills
732268,"El Haty, Hadayek El Qobba",El Haty,food,food,Grills
613877,El Haty - Ramsis,El Haty,food,food,Grills
731662,"El Haty, El Rehab City,El Rehab City",El Haty,food,food,Grills
613892,"El Haty, Madinaty",El Haty,food,food,Grills
727091,"El Haty, Mokattam - El Nafora Square",El Haty,food,food,Grills
754681,"El Haty, Hadayek El Ahram - Area ص",El Haty,food,food,Grills
726564,"El Haty, Nasr City - Abbas El Akkad",El Haty,food,food,Grills
754735,"Qaryet Elqatamya Restaurant, Mokattam - El Hadba El Wosta",Qaryet Elqatamya Restaurant,food,food,Grills
759127,"Calories, El Rehab City",Calories,food,food,Grills
753724,"Rich fried chicken, Hadaiq Al Qubbah - Al Hdayeq",Rich fried chicken,food,food,Grills
761231,"Azoza Lahm Mashwi, Nasr City - Abbas El Akkad",Azoza Lahm Mashwi,food,food,Grills
605270,Happy Dolphin - Al Manial,Happy Dolphin,food,food,Grills
612823,"Haty El Fagr, Hadaiq Al Qubbah - El Qobba Palace",Haty El Fagr,food,food,Grills
616272,"Hamam Abdoh,Tagammoa 5 - Banks Center",Hamam Abdoh,food,food,Grills
750221,"Mahshi Masr, 6th of October - 4th District",Mahshi Masr,food,food,Grills
608668,"Sheikh El Balad, Matareya",Sheikh El Balad,food,food,Grills
738320,"Foul We Falafel Matam Al Madina, Nasr City - Mostafa El Nahaas",Foul We Falafel Matam Al Madina,food,food,Grills
737671,"Masmt w Mashwyat Elsha3rawy, Helwan",Masmt w Mashwyat Elsha3rawy,food,food,Grills
711761,"Mashwyat Makkah El Mokarama,Bolkly",Mashwyat Makkah El Mokarama,food,food,Grills
732535,"Take Away Sheikh El Arab, Maadi - Corniche",Take Away Sheikh El Arab,food,food,Grills
721588,"Kababgy Saber Sobhi, El Omraneya El Gharbya",Kababgy Saber Sobhi,food,food,Grills
720449,"Mashwyat El Refaay, Zahraa El Maadi - Al Kuwaiti",Mashwyat El Refaay,food,food,Grills
710738,"kababgy abo yousef,Haram",Kababgy Abo Yousef,food,food,Grills
740481,"Haty&Mashwiat Hima, Hadayek El Qobba",Haty & Mashwiat Hima,food,food,Grills
707250,"Abo Anas El Masry, Mokattam - El Hadba El Wosta",Abo Anas Al Masry,food,food,Grills
746801,"Kababgy Abo Fahd, Mokattam",Kababgy Abo Fahd,food,food,Grills
732799,"Haty Mohamed Nada, Nasr City - El Hadeeqa El Dawlia",Haty Mohamed Nada,food,food,Grills
718540,"Weddad's Kitchen, Tagammoa 5 - El Yasmeen 7",Weddad's Kitchen,food,food,Grills
731157,"Masmat Abo Saad, Qurashi",Masmat Abo Saad,food,food,Grills
728995,"Kababgy Barakat, Shobra",Kababgy Barakat,food,food,Grills
737387,"shikh el balad, Seger",Shikh El Balad,food,food,Grills
742363,"Qasr El Baroun,Heliopolis",Qasr El Baroun,food,food,Grills
736592,"Mashwiat Lametna,Nasr City - El Serag Mall",Mashwiat Lametna,food,food,Grills
608866,Kabsa We Keif - 6th of October - Hosary and Ahyaa',Kabsa We Keif,food,food,Grills
748221,"Chicken House, Gadila & Toreel",Chicken House,food,food,Grills
750307,"Mimmo Grill, Asafra",Mimmo Grill,food,food,Grills
732884,"Awlad Essam,Meet Hadar",Awlad Essam,food,food,Grills
711667,"Atef Grill, Semouha",Atef Grill,food,food,Grills
737529,"Sit Elkol,Mokattam",Sit Elkol,food,food,Grills
610883,"Rehana Restaurant, Downtown - Abdin",Al Rehan,food,food,Grills
721647,"El Haty,El Sheikh Zayed - el hay 1",El Haty,food,food,Grills
612202,"Mashwy, Dokki - Wezaret El Zera'a",Mashwy,food,food,Grills
720149,"Delice,6th Of October - 3rd District",Delice,food,food,Grills
743430,"Umore, Cornishe El Nile",Umore,food,food,Grills
601613,Kebda Wa Mokh El Sharkawy  - 6th of October,Kebda Wa Mokh El Sharkawy  - 6th of October,food,food,Grills
741559,"Gzart W Mashwayat Elafndy, Moharam Bek",Gzart W Mashwayat Elafndy,food,food,Grills
752103,"Matam Makolat Elbasha, Nasr City - Mostafa El Nahaas",Matam Makolat Elbasha,food,food,Grills
737822,"Kababgy El Khateb, Haram",Kababgy El Khateb,food,food,Grills
757624,"Mashwyat Afndina, Sidi Besher Bahary",Mashwyat Afndina,food,food,Grills
734083,"Mashweyat El Forn, Downtown - Ahmed Helmy",Mashweyat El Forn,food,food,Grills
752599,"Hadramot El Halal, El Rehab City",Hadramot El Halal,food,food,Grills
754891,"Kababgy Elsayeda, Tagammoa 5 - AUC",Kababgy Elsayeda,food,food,Grills
755532,"Hadrmoot Elmandy, El Sheikh Zayed - El Hay 12",Hadrmoot Elmandy,food,food,Grills
752101,"Kbabgy El basha, Nasr City - Mostafa El Nahaas",Kbabgy El basha,food,food,Grills
754973,"Kababgy Arabisc, Haram - Mash'aal",Kababgy Arabisc,food,food,Grills
754491,"Mashawy Elkhal, Maadi - Corniche",Mashawy Elkhal,food,food,Grills
752099,"Hekaya Elbasha, Nasr City - Mostafa El Nahaas",Hekaya Elbasha,food,food,Grills
759378,"Al2sr El4amy, Moharam Bek - Pawlino",Al2sr El4amy,food,food,Grills
752354,"Legleisah,El Rehab City,El Rehab City",LEGLEISAH,food,food,Grills
735443,"Calories, El Rehab City",Calories,food,food,Grills
609878,"Mashwyat Gemy, Cleopatra",Mashwyat Gemy,food,food,Grills
618454,"Kasr El Mashwyat, Nasr City - El Hadeeqa El Dawlia",Kasr EL Mashwyat,food,food,Grills
734366,"Madinat Hegazy Lye Elhom Elbaldy W Almshwayat,Ibrahimia",Madinat Hegazy Lye Elhom Elbaldy W Almshwayat,food,food,Grills
618819,"HadraMout El Tawfek, Nasr City - Mostafa El Nahaas,Nasr City - Mostafa El Nahaas","HadraMout El Tawfek, Nasr City - Mostafa El Nahaas",food,food,Grills
618455,"Kbabgy El Madina, Nasr City - Mostafa El Nahaas",Kbabgy El Madina,food,food,Grills
710962,"Karyat Abd El Mageed , green plaza",Karyat Abd Elmageed,food,food,Grills
757644,"Mandena Ll Makolat El Yamnya W El Khalegya,Tagammoa 5",Mandena Ll Makolat El Yamnya W El Khalegya,food,food,Grills
602065,Shawrm house and grill- El Shorouk City,Shawrm House and Grill  - El Shorouk City,food,food,Grills
734679,"7ira2 Bukhari And Broasted Restaurants,Stadium Area",7ira2 Bukhari And Broasted Restaurants,food,food,Grills
601617,Hadramoot Restaurants - 6th of October,Hadramoot Restaurants - 6th of October,food,food,Grills
748563,"Shakra, 6th of October - 1st District",Shakra,food,food,Grills
600317,Al Aseel El Demashky - Tagammoa 5,Al Aseel El Demashky - Tagammoa 5,food,food,Grills
718388,"Mohamed Saied L7oom and Grill, El Shorouk",Mohamed Saied L7oom and Grill,food,food,Grills
751858,"Tiko`s fried chicken and more, Nasr City - Zahraa",Tiko's Fried Chicken and More,food,food,Grills
726033,"Mashwyat W Masmat El Seoudi,El Egezy",Mashwyat W Masmat El Seoudi,food,food,Grills
728370,"Mtbkh Malika Ll Akl Elbety,Nasr City - Hay 10",Mtbkh Malika Ll Akl Elbety,food,food,Grills
752350,"Mat3am Mashwyat El Madena, Masaken Sheraton - Saqr Qorish",Mat3am Mashwyat El Madena,food,food,Grills
738730,"Dar Halab for Syrian Food,Hadaiq Al Qubbah - Al Hdayeq",Dar Halab for Syrian Food,food,food,Grills
736251,"Mashwyat El Maagnoon, Hadayeq El Maadi",Mashwyat El Maagnoon,food,food,Grills
731153,"Mecca El Mokarama Grills, El Egezy",Mecca El Mokarama Grills,food,food,Grills
719006,"Masmat Ahbab El Hussien, Heliopolis",Masmat Ahbab El Hussien,food,food,Grills
736210,"Mashwayat Wadei El Nile, Haram - Tersa",Mashwayat Wadei El Nile,food,food,Grills
759341,"Kabab El Garn W Melegy, Downtown",Kabab El Garn W Melegy,food,food,Grills
729176,"Chikno, Faisal - El Matba'a",Chikno,food,food,Grills
740798,"Apron, Tagammoa 5 - Hay 1",Apron,food,food,Grills
754746,"Hadramout Tabakh El Rayes,Kobry El Qobba",Hadramout Tabakh El Rayes,food,food,Grills
607750,"Kababgy Sheikh El Arab, Haram - El Arish",Kababgy Sheikh El Arab,food,food,Grills
707091,"Hadramoot,Al Kawmeya",Hadramoot,food,food,Grills
606649,"Hadra Mawet Wa ElSamar, Mohandiseen",Hadramout W El Semar,food,food,Grills
611183,"El Sawaf El Kababgy, Haram",El Sawaf El Kababgy El Orouba,food,food,Grills
732847,"Mashwyat Ebn El Balad, Faisal - El Malekah",Mashwyat Ebn El Balad,food,food,Grills
601491,Koshk Araby - Sidi Gaber,Koshk Araby - Sidi Gaber,food,food,Grills
606228,Abu Tair - Raml Station,Abu Tair - Raml Station,food,food,Grills
735330,"Kbabgy Karam Elsobky, Shobra",Kbabgy Karam Elsobky,food,food,Grills
